"","player_id","firstname","surname"
"710",1014524,"Reuben","Cotter"
"711",1014525,"Tom","Gilbert"
"712",1014526,"Maika","Sivo"
"713",1014527,"Dylan","Brown"
"714",1014528,"Andrew","Davey"
"715",1014529,"Stefano","Utoikamanu"
"716",1014531,"Corey","Allan"
"717",1014532,"Jason","Saab"
"718",1014534,"Egan","Butcher"
"719",1014535,"Sam","McIntyre"
"720",1014536,"Thomas","Mikaele"
"721",1014567,"Asu","Kepaoa"
"722",1015573,"Bailey","Simonsson"
"723",1015574,"JJ","Collins"
"724",1016083,"Izaia","Perese"
"725",1016084,"Peter","Hola"
"726",1016344,"Sam","Verrills"
"727",1016793,"Ronaldo","Mulitalo"
"728",1016995,"Cory","Paix"
"729",1017153,"Brian","To'o"
"730",1017273,"Mitch","Kenny"
"731",1017275,"Haumole","Olakau'atu"
"732",1017453,"Keaon","Koloamatangi"
"733",1017544,"Jackson","Frei"
"734",1018053,"Xavier","Coates"
"735",1018094,"Tex","Hoy"
"736",1018095,"Herbie","Farnworth"
"737",1018096,"Keenan","Palasia"
"738",1018244,"Stephen","Crichton"
"739",1018245,"Adam","Pompey"
"740",1018246,"Tommy","Talau"
"741",1018247,"Tanah","Boyd"
"742",1018248,"Ethan","Parry"
"743",1018303,"Spencer","Leniu"
"744",1018343,"Jirah","Momoisea"
"745",1018344,"Chris","Randall"
"746",1018345,"Max","Bailey"
"747",1018383,"Matt","Burton"
"748",1018384,"Treymain","Spry"
"749",1018453,"Sean","Keppie"
"750",1018454,"Billy","Burns"
"751",1018455,"Morgan","Harper"
"752",1018493,"Tesi","Niu"
"753",1018494,"Bradman","Best"
"754",1018533,"Isaiah","Tass"
"755",1018534,"Starford","To'a"
"756",1019536,"Ethan","Bullemor"
"757",1019537,"Jordan","Riki"
"758",1019538,"Kobe","Hetherington"
"759",1019539,"Pride","Petterson-Robati"
"760",1019540,"Jake","Averillo"
"761",1019542,"Tuipolotu","Katoa"
"762",1019544,"James","Roumanos"
"763",1019545,"Matt","Doorey"
"764",1019546,"Hamiso","Tabuai-Fidow"
"765",1019547,"Connelly","Lemuelu"
"766",1019548,"Ben","Condon"
"767",1019550,"Tuki","Simpkins"
"768",1019551,"Wiremu","Greig"
"769",1019552,"Jayden","Sullivan"
"770",1019553,"Mat","Feagai"
"771",1019554,"Max","Feagai"
"772",1019556,"Eddie","Blacker"
"773",1019558,"Samuel","Hughes"
